title,composer,origin,project,year,artist,publisher,venue_date,spotify,youtube,filename,genres,album,albumcover
Cream Routine,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,https://youtu.be/yqXOFqS3XTk,/audio/Cream Routine1.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Cream Routine,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,https://youtu.be/yqXOFqS3XTk,/audio/Cream Routine2.mp3,"Piano,Orchestral,Film,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Cry,Bolland,,,2009,C.J. Bolland,Wikkid Records,,,,/audio/Cry.mp3,"Pop,Song,Electronic",500€ Coctail,
Crystalised,Qureshi - Smith - Sim - Croft,,,,Lara Chedraoui & Guy Van Nueten,,"Concertstudio, 17 dec.2012, Kortrijk, Belgium",,https://www.youtube.com/watch?v=ZQ7RoQQQgCk&list=PLsmvutRI5QqVAtTHtjBok8u454gCRGtPJ&index=2,/audio/Crystalised.mp3,"Live,Pop,Song",,
Dansstudie II,Van Nueten,composition assignment,,1999,"Van Calster, Mertens, Van Bulck",,"De Singel, Antwerp, Belgium, 31-04-2000",,,/audio/Dansstudie II 1.mp3,"Contemporary,Live",,
Dansstudie II,Van Nueten,composition assignment,,1999,"Van Calster, Mertens, Van Bulck",,"De Singel, Antwerp, Belgium, 31-04-2000",,,/audio/Dansstudie II 2.mp3,"Contemporary,Live",,
Dansstudie II,Van Nueten,composition assignment,,1999,"Van Calster, Mertens, Van Bulck",,"De Singel, Antwerp, Belgium, 31-04-2000",,,/audio/Dansstudie II 3.mp3,"Contemporary,Live",,
Dansstudie II,Van Nueten,composition assignment,,1999,"Van Calster, Mertens, Van Bulck",,"De Singel, Antwerp, Belgium, 31-04-2000",,,/audio/Dansstudie II 4.mp3,"Contemporary,Live",,
Darkscape,Van Nueten,feature film,Milo,2015,"Milo Chamber Orchestra, directed by Dirk De Caluwé",Bolli Records,,https://open.spotify.com/album/1Vg5cBNN2v9HX4tqOscQPe,,/audio/Darkscape.mp3,"Film,Orchestral,Contemporary",Music for a Small Orchestra,/albumcovers/Music for a Small Orchestra.webp
Chairdance,Van Nueten,dance performance,Solitary Confinement,2013,,,,,,/audio/David+Chairdance1.mp3,"Electronic,Minimal,Stage",,/albumcovers/WIRED_EP(3kx3k).jpg
Chairdance,Van Nueten,dance performance,Solitary Confinement,2013,,,,,,/audio/David+Chairdance2.mp3,"Electronic,Minimal,Stage",,/albumcovers/DECENT MUSIC_VINYL_DEF_LETTERS(72DPI) copy.jpg
De Beste Componist is de Dode Componist,Van Nueten,,,2013,,Bolli Records,,https://open.spotify.com/album/3IcFBuAA3PzwjU4D5kjDic,,/audio/De Beste Componist is de Dode Componist.mp3,"Piano,Classical,Contemporary",Pacman,/albumcovers/Pacman.webp
De Droom,Van Nueten,,,2009,,Bolli Records/62TV,,http://open.spotify.com/album/4b2FoYktxPW5nfuDBLFMWP,,/audio/De Droom.mp3, ,Merg,/albumcovers/Merg.webp
